Portfolio Name;Datum;Performance [%] (Intervall);Performance (Intervall);Performance [%] (kumuliert);Performance (kumuliert);Benchmark Performance [%] (Intervall);Währung
ETF Muster 100/100 offensiv;17.11.2021;-0,0012231974;-177,90;0,4482302851;45.280,77;0,000055332;EUR
ETF Muster 100/100 offensiv;18.11.2021;-0,0034204210;-496,86;0,4433148734;44.783,92;-0,000453234;EUR
ETF Muster 100/100 offensiv;19.11.2021;0,0042841093;620,19;0,4494570781;45.404,10;0,001407283;EUR
ETF Muster 100/100 offensiv;20.11.2021;0;0;0,4494570781;45.404,10;0;EUR
ETF Muster 100/100 offensiv;21.11.2021;0;0;0,4494570781;45.404,10;0;EUR
ETF Muster 100/100 offensiv;22.11.2021;-0,0050948836;-740,72;0,4421275666;44.663,38;-0,000132914;EUR
ETF Muster 100/100 offensiv;23.11.2021;-0,0116757359;-1.688,83;0,4254124487;42.974,55;-0,002503641;EUR
ETF Muster 100/100 offensiv;24.11.2021;0,0039395890;563,19;0,4309903632;43.537,74;0,002875589;EUR
ETF Muster 100/100 offensiv;25.11.2021;0,0008987555;128,99;0,4322700881;43.666,73;0,000310310;EUR
ETF Muster 100/100 offensiv;26.11.2021;-0,0250463231;-3.597,85;0,3966564820;40.068,88;-0,014646694;EUR
ETF Muster 100/100 offensiv;27.11.2021;0;0;0,3966564820;40.068,88;0;EUR
ETF Muster 100/100 offensiv;28.11.2021;0;0;0,3966564820;40.068,88;0;EUR
ETF Muster 100/100 offensiv;29.11.2021;0,0090395360;1.265,99;0,4091916317;41.334,86;0,005663962;EUR
ETF Muster 100/100 offensiv;30.11.2021;-0,0116529870;-1.646,75;0,3928922798;39.688,11;-0,007609366;EUR
ETF Muster 100/100 offensiv;01.12.2021;-0,0003628604;-50,68;0,3923931325;39.637,43;-0,005870465;EUR
ETF Muster 100/100 offensiv;02.12.2021;-0,0000794091;-11,09;0,3922859357;39.626,34;0,005408295;EUR
ETF Muster 100/100 offensiv;03.12.2021;-0,0059891376;-836,13;0,3840110809;38.790,22;-0,002342712;EUR
